id_pracownika,data_wpisu,wyprodukowane_sztuki,czas_przerw_min
PRAC_07,25.06.2026,141,34
PRAC_04,07.06.2026,129,18
PRAC_13,09.06.2026,145,26
PRAC_11,24.06.2026,160,37
PRAC_08,01.06.2026,197,30
PRAC_13,12.06.2026,154,22
PRAC_05,08.06.2026,154,24
PRAC_07,24.06.2026,148,34
PRAC_10,11.06.2026,154,24
PRAC_03,19.06.2026,149,31
PRAC_07,17.06.2026,151,30
PRAC_11,08.06.2026,211,25
PRAC_11,03.06.2026,45,45
PRAC_08,03.06.2026,157,34
PRAC_05,01.06.2026,149,15
PRAC_04,27.06.2026,120,31
PRAC_08,05.06.2026,178,25
PRAC_08,10.06.2026,168,35
PRAC_03,07.06.2026,169,24
PRAC_06,26.06.2026,127,29
PRAC_05,09.06.2026,185,33
PRAC_02,28.06.2026,114,36
PRAC_08,07.06.2026,164,21
PRAC_12,09.06.2026,204,27
PRAC_14,08.06.2026,125,26
PRAC_06,12.06.2026,135,25
PRAC_02,02.06.2026,152,30
PRAC_12,01.06.2026,137,32
PRAC_05,16.06.2026,111,30
PRAC_01,23.06.2026,151,36
PRAC_12,23.06.2026,123,44
PRAC_10,30.06.2026,161,37
PRAC_06,24.06.2026,127,19
PRAC_13,05.06.2026,188,26
PRAC_12,03.06.2026,130,38
PRAC_09,12.06.2026,141,25
PRAC_01,08.06.2026,170,30
PRAC_11,22.06.2026,119,35
PRAC_11,27.06.2026,155,23
PRAC_10,03.06.2026,154,29
PRAC_12,01.06.2026,109,7
PRAC_12,03.06.2026,154,22
PRAC_14,05.06.2026,156,28
PRAC_14,15.06.2026,169,21
PRAC_14,14.06.2026,119,41
PRAC_03,03.06.2026,154,19
PRAC_12,01.06.2026,163,26
PRAC_07,05.06.2026,157,30
PRAC_04,26.06.2026,156,40
PRAC_09,23.06.2026,154,19
PRAC_03,14.06.2026,132,38
PRAC_05,07.06.2026,155,30
PRAC_03,27.06.2026,157,23
PRAC_07,09.06.2026,132,33
PRAC_05,15.06.2026,196,31
PRAC_09,15.06.2026,161,25
PRAC_07,26.06.2026,120,30
PRAC_02,10.06.2026,166,27
PRAC_04,28.06.2026,125,30
PRAC_09,13.06.2026,169,34
PRAC_12,19.06.2026,178,41
PRAC_14,07.06.2026,129,21
PRAC_02,17.06.2026,174,44
PRAC_10,20.06.2026,160,16
PRAC_09,29.06.2026,170,28
PRAC_10,04.06.2026,197,30
PRAC_05,30.06.2026,143,31
PRAC_02,05.06.2026,131,25
PRAC_04,23.06.2026,127,28
PRAC_12,07.06.2026,129,26
PRAC_12,13.06.2026,148,25
PRAC_07,15.06.2026,158,35
PRAC_12,11.06.2026,156,32
PRAC_13,29.06.2026,170,25
PRAC_08,04.06.2026,150,36
PRAC_03,13.06.2026,186,32
PRAC_14,07.06.2026,143,35
PRAC_01,27.06.2026,218,34
PRAC_04,19.06.2026,165,24
PRAC_02,22.06.2026,128,26
PRAC_08,28.06.2026,123,35
PRAC_04,02.06.2026,162,34
PRAC_02,10.06.2026,144,29
PRAC_14,13.06.2026,167,30
PRAC_06,30.06.2026,161,38
PRAC_06,25.06.2026,148,25
PRAC_10,21.06.2026,128,33
PRAC_04,06.06.2026,112,28
PRAC_06,28.06.2026,138,28
PRAC_13,28.06.2026,171,37
PRAC_02,12.06.2026,155,35
PRAC_10,12.06.2026,118,35
PRAC_12,20.06.2026,154,39
PRAC_02,30.06.2026,159,30
PRAC_10,30.06.2026,127,34
PRAC_14,11.06.2026,153,27
PRAC_04,26.06.2026,151,32
PRAC_14,23.06.2026,121,29
PRAC_08,28.06.2026,158,30
PRAC_14,25.06.2026,164,34
PRAC_07,07.06.2026,177,24
PRAC_12,30.06.2026,176,44
PRAC_09,01.06.2026,115,22
PRAC_14,01.06.2026,126,21
PRAC_08,25.06.2026,162,38
PRAC_05,27.06.2026,162,35
PRAC_13,30.06.2026,162,34
PRAC_02,25.06.2026,246,34
PRAC_05,20.06.2026,164,29
PRAC_08,13.06.2026,178,23
PRAC_10,09.06.2026,173,30
PRAC_09,03.06.2026,166,25
PRAC_12,07.06.2026,142,36
PRAC_12,06.06.2026,168,28
PRAC_12,08.06.2026,130,24
PRAC_13,27.06.2026,144,27
PRAC_09,09.06.2026,137,32
PRAC_13,30.06.2026,152,26
PRAC_13,05.06.2026,207,24
PRAC_01,01.06.2026,103,31
